Ticker,Financial_currentPrice,Financial_totalCash,Financial_totalCashPerShare,Financial_ebitda,Financial_totalDebt,Financial_quickRatio,Financial_currentRatio,Financial_totalRevenue,Financial_debtToEquity,Financial_revenuePerShare,Financial_returnOnAssets,Financial_returnOnEquity,Financial_freeCashflow,Financial_ebitdaMargins,Financial_profitMargins,KeyStats_enterpriseValue,KeyStats_sharesOutstanding,KeyStats_heldPercentInsiders,KeyStats_priceToBook,KeyStats_enterpriseToEbitda,SharePurchase_period,SharePurchase_buyInfoCount,SharePurchase_buyInfoShares,SharePurchase_buyPercentInsiderShares,SharePurchase_sellInfoCount,SharePurchase_sellInfoShares,SharePurchase_sellPercentInsiderShares,SharePurchase_netInfoCount,SharePurchase_netInfoShares,SharePurchase_netPercentInsiderShares,SharePurchase_totalInsiderShares
ALPP,0.823,3828963,0.144,-12077235,53024756,0.471,1.034,106083464,86.898,4.253,-0.08217,-0.31658,-3502201,-0.113850005,-0.19547,71136320,24607800,0.01392,0.35612288,-5.89,6m,0,0,,0,,,0,0,,371096
ALRN,5.55,12069000,2.658,-12639000,0,7.432,7.877,,,,-0.39786997,-0.76356006,-8506125,0.0,0.0,13134477,4885510,0.00662,2.2506082,-1.039,6m,0,0,,0,,,0,0,,30062
ALSA,11.27,,,,4849613,,12.201,,,,-0.0025,,16895954,0.0,0.0,,12268500,0.35816002,,,6m,0,0,,0,,,0,0,,4394087
ALSAR,0.1,,,,4849613,,12.201,,,,-0.0025,,16895954,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ALSAW,0.013,,,,4849613,,12.201,,,,-0.0025,,16895954,0.0,0.0,,,,2.6000001,,6m,0,0,,0,,,0,0,,0
ALTG^A
ALTU,10.3101,888,0.0,,135000,0.0,0.007,,,,-0.08794,,-1829198,0.0,0.0,91220184,8475460,0.88491,,,6m,0,0,,0,,,0,0,,7817865
ALTUW,0.0161,888,0.0,,135000,0.0,0.007,,,,-0.08794,,-1829198,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ALZN,1.17,200079,0.028,-15120157,0,0.055,0.213,,,,-1.66063,-4.96808,-4303517,0.0,0.0,8131143,6618770,0.28579,,-0.538,6m,96,26304912,0.0,6,66600,0.0,102,26238312,-1.084,2035025
AMH^G
AMH^H
AMPE,1.58,6432000,7.731,-9687000,362000,3.066,3.367,,6.735,,-0.47217,-0.91530997,-7311500,0.0,0.0,-4755407,1135360,0.021389998,0.23652695,0.491,6m,43,2889705,0.0,9,234734,0.0,52,2654971,-1.007,17796
AMPG,1.86,8554878,0.883,-1542120,4012086,4.77,8.298,15847975,14.808,1.644,-0.03601,-0.099870004,-1465473,-0.09731,-0.17861,13475238,9687110,0.30316,0.66499823,-8.738,6m,0,0,,0,,,0,0,,2936745
AMPGW,0.148,8554878,0.883,-1542120,4012086,4.77,8.298,15847975,14.808,1.644,-0.03601,-0.099870004,-1465473,-0.09731,-0.17861,,,,,,6m,0,0,,0,,,0,0,,0
AMS,2.7001,14537000,2.307,7216000,13407000,1.908,2.027,20664000,51.557,3.238,0.029140001,0.01559,3938375,0.34921002,0.021340001,19773630,6300000,0.35661998,0.7657685,2.74,6m,0,0,,0,,,0,0,,2246706
AMST,1.955,3663463,1.441,-3810987,0,20.819,21.922,432364,,0.17,-0.37233,-0.59936,-2053712,0.0,0.0,1307007,2542440,0.31674,1.1359675,-0.343,6m,0,0,,0,,,0,0,,805292
ANSC,10.14,,,,300000,,,,2042.484,,,,,0.0,0.0,,34500000,0.0,,,6m,0,0,,0,,,0,0,,0
AOD,8.08,746526,0.007,,49051956,0.252,0.257,73972832,5.449,0.702,0.041750003,0.07186,,0.0,0.87833,900187904,105431000,1.0000001e-05,0.9462467,,6m,0,0,,0,,,0,0,,1054
AOGO,10.82,29872,0.006,,1329996,0.013,0.029,,,,-0.01097,,-49849,0.0,0.0,53689848,1762410,0.46401,,,6m,0,0,,0,,,0,0,,2246705
AONCW,0.3299,77687000,8.135,17021000,132565000,1.522,1.777,1255400960,142.404,252.963,0.016,-0.14203,18653624,0.01356,0.00063,,,,,,6m,0,0,,0,,,0,0,,0
AP,2.5,6070000,0.306,28841000,132658000,0.879,2.042,407766016,116.076,20.873,0.01446,0.030639999,-39855752,0.07073,0.00354,186093376,19865700,0.2572,0.4722327,6.452,6m,0,0,,0,,,0,0,,5109470
APAC,12.01,123789,0.017,,2631948,0.031,0.032,,,,-0.01016,,101145,0.0,0.0,91694048,2425970,0.0,,,6m,0,0,,0,,,0,0,,0
APACU,11.64,123789,0.017,,2631948,0.031,0.032,,,,-0.01016,,101145,0.0,0.0,88946440,,0.0,,,6m,0,0,,0,,,0,0,,0
APACW,0.026,123789,0.017,,2631948,0.031,0.032,,,,-0.01016,,101145,0.0,0.0,,,,6.5,,6m,0,0,,0,,,0,0,,0
APCX,1.82,251000,0.012,,178000,0.33,0.542,471000,21.814,0.026,-0.97300005,-3.4317002,-5292000,0.0,0.0,37584516,20690900,0.23642,42.32558,,6m,0,0,,0,,,0,0,,4891752
APDN,0.57,3359045,0.198,-12201096,1117316,1.472,1.774,8995855,27.064,0.678,-0.55955005,-1.10018,-4017711,-1.3563,-0.80135,7332203,16978700,0.122729994,1.8506494,-0.601,6m,0,0,,0,,,0,0,,2083796
APLMW
APO^A
APRE,8.17,25353512,6.785,-14448981,0,6.086,6.154,569156,,0.17,-0.30411,-0.51873,-8344334,0.0,0.0,6486168,3736670,0.16246,1.5046041,-0.449,6m,0,0,,0,,,0,0,,607059
APVO,0.1294,19110000,1.085,-29566000,5575000,2.795,3.09,0,37.879,0.0,-0.64128,-1.15597,-14555250,0.0,0.0,-11042227,22333800,0.0071799997,0.12723698,0.373,6m,0,0,,0,,,0,0,,126488
AQB,2.47,16767070,4.359,-22981480,8733650,1.473,1.97,2370344,5.043,0.666,-0.0756,-0.13586001,-107248888,0.0,0.0,1468106,3846770,0.0117,0.054862067,-0.064,6m,56,17608457,2.148,2,25760000,3.143,58,-8151543,-0.995,45007
AQU,10.83,3835,0.001,,759626,0.001,7.732,,,,-0.0378,,-28944744,0.0,0.0,50066404,4553150,0.35647,,,6m,0,0,,0,,,0,0,,1623061
AQUNR,0.18,3835,0.001,,759626,0.001,7.732,,,,-0.0378,,-28944744,0.0,0.0,,,,16.363638,,6m,0,0,,0,,,0,0,,0
AREB,0.319,1633238,0.325,-5331733,4175085,0.718,2.232,15272475,31.938,12.332,-0.19760999,-0.34862,-6101383,-0.34911,-0.28655002,4143376,5019920,0.00393,0.14337079,-0.777,6m,0,0,,0,,,0,0,,19728
AREBW
AREN,1.8,7290000,0.307,-21039000,125883000,0.298,0.552,235267008,,11.313,-0.15115,,13198500,-0.08943,-0.27086002,161488480,29478300,0.67107004,,-7.676,6m,4,5605555,0.315,2,7452284,0.41900003,6,-1846729,-0.103999995,15929517
ARR^C
ARRW,10.79,639819,0.055,,4320000,0.073,0.075,,,,-0.01592,,701848,0.0,0.0,129203632,4445810,0.0,,,6m,0,0,,0,,,0,0,,0
ARRWU,11.6,639819,0.055,,4320000,0.073,0.075,,,,-0.01592,,701848,0.0,0.0,138626608,,0.0,,,6m,0,0,,0,,,0,0,,0
ARRWW,0.099,639819,0.055,,4320000,0.073,0.075,,,,-0.01592,,701848,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ARTL,1.47,12864000,4.034,,32000,13.967,14.58,,0.22,,-0.33516997,-0.52383,-4237750,0.0,0.0,-8144230,3188960,0.00838,0.318872,,6m,0,0,,0,,,0,0,,26723
ARTLW,0.015,12864000,4.034,,32000,13.967,14.58,,0.22,,-0.33516997,-0.52383,-4237750,0.0,0.0,,2333710,,,,6m,0,0,,0,,,0,0,,0
ARTW,1.95,4014,0.001,2336061,8154656,0.397,1.606,30280956,70.05,6.053,0.03959,0.066939995,-587021,0.07715,0.00882,18023898,5063210,0.52724,0.83979326,7.716,6m,0,0,,0,,,0,0,,2669525
ASB^E
ASB^F
ASG,5.35,,,,1059561,0.902,1.143,1937967,0.321,0.033,-0.00315,0.13535,,0.0,22.08839,,58237000,0.0033000002,0.94256514,,6m,0,0,,0,,,0,0,,192182
ASNS,1.08,936000,0.345,-7698000,4788000,0.249,0.817,7123000,571.36,3.35,-0.35076,-2.13623,-3946000,-1.08072,-0.95985,6785751,3018440,0.11209,3.4726691,-0.881,6m,0,0,,0,,,0,0,,304485
ASRV,2.56,,,,112198000,,,44980000,,2.624,-0.00243,-0.0321,,0.0,-0.07439,,17147300,0.19568,0.42917013,,6m,0,0,,0,,,0,0,,3355378
ASST,0.56,4021161,0.287,,0,29.717,30.622,259151,,0.02,-1.09979,-1.88549,-1460584,0.0,0.0,3832508,5639130,1.3453599,1.9178083,,6m,0,0,,0,,,0,0,,18867880
ASTC,7.62,37279000,22.856,-11367000,461000,16.237,17.314,1989000,1.145,1.221,-0.15777001,-0.23033,-6776125,0.0,0.0,-24389338,1701730,0.11915,0.30860198,2.146,6m,0,0,,0,,,0,0,,194340
ASTI,0.3797,1048733,0.276,-12264332,3139401,0.182,0.267,458260,,0.447,-0.61859,-11.1607,-6996155,0.0,0.0,3531195,3793840,0.10864,,-0.288,6m,34,3950512766,0.0,15,201834400,0.0,49,3748678361,-1.0,412163
ASTR,0.891,19653000,0.874,-166946000,17691000,0.277,0.652,963000,219.437,0.053,-0.68192,-2.17713,-115973504,0.0,0.0,18079606,18961700,0.017070001,2.0482757,-0.108,6m,33,38587874,0.0,1,4267040,0.0,34,34320834,-1.011,383962
